ID,MA,FA,Cs,Avg Mass of A,Radius of A,Pb,Sn,Avg Mass of B,Radius of B,Br,Cl,I,Radius of X,Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE,REF
1,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.15,0.2,1.11,24,0.78,20.7,1
2,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.5,0.3,0,1.07,22.6,0.806,19.5,2
3,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.55,0.4,0.18,1.03,23.7,0.79,19.2,3
4,0.17,0.83,0,42.00176,2.7747,1,0,207,1.18,0.4,0.6,0,1.814,1.083734431,3.287420461,0.6504961411,1.72,0.4,0.18,1.12,17.1,0.66,12.6,3
5,0.15,0.85,0,42.2412,2.7765,1,0,207,1.18,0.15,0,0.85,2.024,1.059446349,3.465084977,0.5830039526,1.55,0.4,0.18,1.14,23.7,0.78,21,3
6,0.15,0.8075,0,40.3696275,2.657925,1,0,207,1.18,0.15,0,0.835833,1.99481598,1.036275714,3.464403763,0.5915332601,1.62,0.64,0.37,1.21,22.5,0.79,21.51,4
7,0.15,0.8075,0,40.3696275,2.657925,1,0,207,1.18,0.15,0,0.835833,1.99481598,1.036275714,3.464403763,0.5915332601,1.62,0.84,0.57,1.1,22.56,0.785,19.48,4
8,1,0,0,32.065,2.7,1,0,207,1.18,0,0,1,2.06,1.038835888,3.51008842,0.572815534,1.59,0.4,0.3,1.03,23.51,0.83,20.1,5
9,1,0,0,32.065,2.7,1,0,207,1.18,0,0.05,0.95,2.0475,1.040120664,3.499495199,0.5763125763,1.55,0.1,0.47,0.92,22.4,0.82,18,6
10,0.25,0.7,0.05,45.4874,2.7185,1,0,207,1.18,0,0,1,2.06,1.042873381,3.50625626,0.572815534,1.56,0.19,0.47,1.08,24.35,0.766,20.5,7
