Tolerance Factor,New Tolerance Factor,Octahedral Factor,Band gap,Del H,Del L,Voc,Jsc,FF,PCE
1.038835888,3.51008842,0.572815534,1.5,0.44,0.2,0.77,11.28,0.577,5.01
1.055220889,3.482612257,0.5776699029,1.4,0.7,0.36,0.36,21.96,0.674,5.29
0.8517798366,4.194937578,0.6213142376,2.08,0.8,0.08,0.85,10.56,0.62,5.52
0.8517798366,4.194937578,0.6213142376,2.08,0.78,0.06,1.09,7.76,0.6594,5.59
1.055220889,3.482612257,0.5776699029,1.4,0.7,0.28,0.4,22.17,0.662,5.9
1.027503233,3.439577333,0.6062474312,1.6,0.38,0,0.972,8.67,0.727,6.12
1.029124082,3.520232369,0.572815534,1.51,0.49,0.08,1.01,8.69,0.726,6.29
1.055220889,3.482612257,0.5776699029,1.4,0.7,0.16,0.44,22.34,0.673,6.56
0.8555992052,4.127818934,0.6483516484,2.3,0.6,0.8,1.24,7.4,0.73,6.7
0.8555992052,4.127818934,0.6483516484,2.3,0.4,0.8,1.27,6.97,0.785,6.95
1.027503233,3.439577333,0.6062474312,1.6,0.5,0,0.975,10.92,0.66,7.03
1.055220889,3.482612257,0.5776699029,1.4,0.7,0.18,0.47,22.45,0.678,7.09
1.059446349,3.465084977,0.5830039526,1.73,0.43,0.18,0.97,20.1,0.38,7.5
1.019412276,3.531785558,0.572815534,1.54,0.49,0.05,1.05,10.1,0.73,7.68
1.038835888,3.51008842,0.572815534,1.5,0.35,0.2,0.924,18.6,0.48,8.3
1.038835888,3.51008842,0.572815534,1.5,0.4,0.3,0.94,13.8,0.73,8.6
1.059446349,3.465084977,0.5830039526,1.73,0.47,0.43,0.99,16,0.57,9
1.038835888,3.51008842,0.572815534,1.5,0.4,0.3,0.8,15.1,0.81,9.3
1.038835888,3.51008842,0.572815534,1.5,0.2,0.2,0.93,18.19,0.563,9.52
1.058477743,3.493388698,0.572815534,1.5,0.5,0.12,0.809,21.4,0.59,10.4
1.038835888,3.51008842,0.572815534,1.5,0.4,0.3,0.84,16.6,0.76,10.6
1.047353808,3.483381306,0.5798525799,1.5,0,0,1.1,18.55,0.5336,10.7
1.040120664,3.499495199,0.5763125763,1.55,0.28,0.37,0.94,20.5,0.56,10.8
1.038835888,3.51008842,0.572815534,1.5,0.4,0.2,0.946,17.51,0.671,11.11
1.040120664,3.499495199,0.5763125763,1.61,0.16,0.35,0.89,20.3,0.62,11.2
1.038835888,3.51008842,0.572815534,1.55,0.42,0.04,0.985,19.9,0.573,11.2
